contract_group,underlying_asset,traded_contracts_day,traded_contracts_mtd,traded_contracts_ytd,daily_average_mtd,daily_average_ytd,open_interest,fecha,es_total
FUTURES STOCK DIVIDEND TOTAL,,0,0,69222,0,660,28726,2026-06-02,True
FUTURES STOCK DIVIDEND,BBVD,0,0,700,0,7,750,2026-06-02,False
OPTIONS STOCK,AENA,160,332,5698,166,54,3211,2026-06-02,False
FUTURES XROLLING FX TOTAL,,2,4,2244,2,19,2157,2026-06-02,True
OPTIONS STOCK,VIS,3,133,699,67,7,416,2026-06-02,False
OPTIONS STOCK,CABK,33,5059,258644,2530,2463,308866,2026-06-02,False
OPTIONS STOCK,REP,50,548,361506,274,3443,754547,2026-06-02,False
FUTURES STOCK,UNI,0,0,10,0,0,10,2026-06-02,False
FUTURES STOCK,TEF,0,0,21385,0,204,20210,2026-06-02,False
FUTURES STOCK,SLR,0,0,393,0,4,1,2026-06-02,False
FUTURES STOCK,SCYR,0,0,34,0,0,0,2026-06-02,False
FUTURES STOCK,SAN,0,1,3501864,1,33351,1536948,2026-06-02,False
FUTURES STOCK,SAB,0,0,920,0,9,508,2026-06-02,False
FUTURES STOCK,ROVI,0,0,129,0,1,2,2026-06-02,False
FUTURES STOCK,REP,10,10,24306,5,231,15391,2026-06-02,False
FUTURES STOCK,RED,0,0,194,0,2,64,2026-06-02,False
OPTIONS STOCK,CLNX,13,126,32545,63,310,30129,2026-06-02,False
OPTIONS STOCK,ACX,2,69,7227,35,69,5400,2026-06-02,False
FUTURES STOCK,PUIG,0,0,312,0,3,230,2026-06-02,False
OPTIONS STOCK,ALM,0,1,22,1,0,29,2026-06-02,False
FUTURES STOCK DIVIDEND,TEFD,0,0,0,0,0,50,2026-06-02,False
FUTURES STOCK,FER,0,0,1963,0,19,375,2026-06-02,False
FUTURES STOCK,IDR,2,7,3126,4,30,341,2026-06-02,False
FUTURES STOCK,ENG,0,0,7711,0,73,7550,2026-06-02,False
FUTURES STOCK,BKT,0,0,812,0,8,116,2026-06-02,False
FUTURES STOCK,IBE,0,0,25976,0,247,7381,2026-06-02,False
FUTURES STOCK,IAG,0,0,600,0,6,40,2026-06-02,False
FUTURES STOCK,GRF,0,4,330,2,3,215,2026-06-02,False
OPTIONS STOCK,A3M,0,0,416,0,4,437,2026-06-02,False
FUTURES STOCK,CABK,0,0,1492,0,14,323,2026-06-02,False
FUTURES STOCK,FDR,0,0,2,0,0,0,2026-06-02,False
FUTURES STOCK,BBVA,0,35,144151,18,1373,39176,2026-06-02,False
FUTURES STOCK DIVIDEND,REPD,0,0,1550,0,15,1901,2026-06-02,False
FUTURES STOCK,COL,0,0,220,0,2,100,2026-06-02,False
FUTURES STOCK,ACX,0,0,440,0,4,34,2026-06-02,False
OPTIONS INDEX IBEX 35 TOTAL,,150,485,146136,243,1392,69950,2026-06-02,True
FUTURES STOCK,ANA,0,0,257,0,2,75,2026-06-02,False
OPTIONS INDEX IBEX 35,,150,485,146136,243,1392,69950,2026-06-02,False
FUTURES IBEX 35,,5836,11769,1516185,5885,14440,50707,2026-06-02,False
FUTURES STOCK,CLNX,0,0,241,0,2,58,2026-06-02,False
FUTURES MINI IBEX 35,,1917,4642,381578,2321,3634,3849,2026-06-02,False
FUTURES INDEX IBEX 35 DIVIDEND,,0,0,3375,0,32,3600,2026-06-02,False
FUTURES STOCK,ELE,0,0,415,0,4,56,2026-06-02,False
FUTURES STOCK,ACS,0,5,6058,3,58,1183,2026-06-02,False
FUTURES STOCK,CIE,0,0,1,0,0,1,2026-06-02,False
FUTURES STOCK,AENA,0,0,203,0,2,25,2026-06-02,False
FUTURES XROLLING FX,EURGBP,0,0,16,0,0,0,2026-06-03,False
OPTIONS STOCK,BKT,1,7,7363,2,69,6968,2026-06-03,False
FUTURES XROLLING FX,USDCHF,0,0,235,0,2,4,2026-06-03,False
FUTURES XROLLING FX,USDJPY,0,0,34,0,0,0,2026-06-03,False
FUTURES XROLLING FX,USDMXN,0,0,2,0,0,0,2026-06-03,False
FUTURES INDEX TOTAL,,8702,25113,1909840,8371,18018,58850,2026-06-03,True
FUTURES XROLLING FX,EURCHF,1,1,150,0,1,0,2026-06-03,False
OPTIONS STOCK,SAB,55,375,15170,125,143,17106,2026-06-03,False
OPTIONS STOCK,ROVI,2,4,7167,1,68,5693,2026-06-03,False
FUTURES XROLLING FX,GBPUSD,0,0,112,0,1,0,2026-06-03,False
OPTIONS STOCK,SCYR,0,0,20959,0,198,20680,2026-06-03,False
FUTURES XROLLING FX,NZDUSD,0,0,36,0,0,0,2026-06-03,False
FUTURES XROLLING STOCK,ITX,0,0,4000,0,38,0,2026-06-03,False
OPTIONS STOCK,TEF,610,757,1119931,252,10565,1581889,2026-06-03,False
FUTURES XROLLING FX,EURJPY,1,1,254,0,2,12,2026-06-03,False
